"MAC","Hersteller","Straße", "Ort", "Land"
"10E992","INGRAM MICRO SERVICES","100 CHEMIN DE BAILLOT","MONTAUBAN    82000","FR"
"78F276","Cyklop Fastjet Technologies (Shanghai) Inc.","No 18?Lane 699, Zhang Wengmiao Rd,  Fengxian district, Shanghai China","Shanghai    201401","CN"
"286FB9","Nokia Shanghai Bell Co., Ltd.","No.388 Ning Qiao Road,Jin Qiao Pudong Shanghai","Shanghai     201206","CN"
"E0A129","Extreme Networks Headquarters","2121 RDU Center Drive","Morrisville  NC  27560","US"
"A8C647","Extreme Networks Headquarters","2121 RDU Center Drive","Morrisville  NC  27560","US"
"A4C7F6","Extreme Networks Headquarters","2121 RDU Center Drive","Morrisville  NC  27560","US"
"F4EAB5","Extreme Networks Headquarters","2121 RDU Center Drive","Morrisville  NC  27560","US"
"B87CF2","Extreme Networks Headquarters","2121 RDU Center Drive","Morrisville  NC  27560","US"
"887E25","Extreme Networks Headquarters","2121 RDU Center Drive","Morrisville  NC  27560","US"
"B42D56","Extreme Networks Headquarters","2121 RDU Center Drive","Morrisville  NC  27560","US"
"A473AB","Extreme Networks Headquarters","2121 RDU Center Drive","Morrisville  NC  27560","US"
"0C9B78","Extreme Networks Headquarters","2121 RDU Center Drive","Morrisville  NC  27560","US"
"001977","Extreme Networks Headquarters","2121 RDU Center Drive","Morrisville  NC  27560","US"
"08EA44","Extreme Networks Headquarters","2121 RDU Center Drive","Morrisville  NC  27560","US"
"9075DE","Zebra Technologies Inc.","ONE ZEBRA PLAZA","HOLTSVILLE  NY  11742","US"
"80BA16","Micas Networks Inc.","250 Tasman Drive, Ste 170, San Jose, CA 95134","San Jose  CA  95134","US"
"B84C87","IEEE Registration Authority","445 Hoes Lane","Piscataway  NJ  08554","US"
"20F83B","Nabu Casa, Inc.","8 The Green, Suite 12630","Dover  DE  19901","US"
"F01B24","zte corporation","12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China","shenzhen   guangdong  518057","CN"
"E80AB9","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"78465F","Fiberhome Telecommunication Technologies Co.,LTD","No.5 DongXin Road","Wuhan  Hubei  430074","CN"
"38E2CA","Katun Corporation","7760 France Ave SSuite 340","Bloomington  MN  55438","US"
"E4C767","Intel Corporate","Lot 8, Jalan Hi-Tech 2/3","Kulim  Kedah  09000","MY"
"B05B99","Sagemcom Broadband SAS","250, route de l'Empereur","Rueil Malmaison Cedex  hauts de seine  92848","FR"
"9CE330","Cisco Meraki","500 Terry A. Francois Blvd","San Francisco    94158","US"
"04A959","New H3C Technologies Co., Ltd","466 Changhe Road, Binjiang District","Hangzhou  Zhejiang  310052","CN"
"0CB983","Honor Device Co., Ltd.","Suite 3401, Unit A, Building 6, Shum Yip Sky Park, No. 8089, Hongli West Road, Xiangmihu Street, Futian District","Shenzhen   Guangdong  518040","CN"
"2CB301","Honor Device Co., Ltd.","Suite 3401, Unit A, Building 6, Shum Yip Sky Park, No. 8089, Hongli West Road, Xiangmihu Street, Futian District","Shenzhen   Guangdong  518040","CN"
"E4F14C","Private","","10-06-1C   (hex)		Espressif Inc.","10061C     (base 16)		Espressif Inc."
"DC7CF7","China Mobile Group Device Co.,Ltd.","32 Xuanwumen West Street,Xicheng District","Beijing    100053","CN"
"906C4B","Advance Security Electronics","8228 NW South River Dr","Medley  FL  33166","US"
"50E478","Sichuan AI-Link Technology Co., Ltd.","Anzhou, Industrial Park","Mianyang  Sichuan  622650","CN"
"6CFBED","GN Audio A/S","Lautrupbjerg 7","Ballerup    DK-2750","DK"
"E4F27C","Juniper Networks","1133 Innovation Way","Sunnyvale  CA  94089","US"
"DCD160","Tianjin Changdatong Technology Co.,LTD","Unit 601, 602, Building 1, Zhongxing Industrial Base, No. 2 East 7th Road, Tianjin Pilot Free Trade Zone (Airport Economic Zone)","Tianjin    300308","CN"
"644ED7","HP Inc.","10300 Energy Dr","Spring  TX  77389","US"
"E00630","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"000E72","Arca Technologies S.r.l.","via Statale 17","Bollengo  Torino  10012","IT"
"E0C2B7","Masimo Corporation","52 Discovery","Irvine  CA  92618","US"
"04D168","Sunplus Technology Co., Ltd.","19, Innovation First Road, Hsinchu Science Park","Hsinchu    300","TW"
"644C69","CONPROVE","75, Visconde de Ouro Preto St.","Uberlândia  Minas Gerais  38405-202","BR"
"902D77","Edgecore Americas Networking Corporation","20 Mason","Irvine  CA  92618","US"
"C88BE8","Masimo Corporation","52 Discovery","Irvine  CA  92618","US"
"D48AFC","Espressif Inc.","Room 204, Building 2, 690 Bibo Rd, Pudong New Area","Shanghai  Shanghai  201203","CN"
"E465B8","Espressif Inc.","Room 204, Building 2, 690 Bibo Rd, Pudong New Area","Shanghai  Shanghai  201203","CN"
"E001C7","Hui Zhou Gaoshengda Technology Co.,LTD","No.2,Jin-da Road,Huinan Industrial Park","Hui Zhou  Guangdong  516025","CN"
"B4DF91","Cisco Meraki","500 Terry A. Francois Blvd","San Francisco    94158","US"
"A881FE","Luxul Tech Co., Ltd","9/F, Yihua Commercial Building, No. 16, Jiuyi Road, Licheng District, Quanzhou, Fujian","Quanzhou  Fujian  362000","CN"
"649A08","Shenzhen SuperElectron Technology Co.,Ltd.","Layer 13,Haosheng Business Center,Dongbin Road,Nanshan District","Shenzhen  guangdong  518052","CN"
"90C710","zte corporation","12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China","shenzhen   guangdong  518057","CN"
"98EE8C","zte corporation","12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China","shenzhen   guangdong  518057","CN"
"48DA35","IEEE Registration Authority","445 Hoes Lane","Piscataway  NJ  08554","US"
"48D475","Lampuga GmbH","Werkstr. 11","Rastatt    76437","DE"
"601AC7","Nintendo Co.,Ltd","11-1 HOKOTATE-CHO KAMITOBA,MINAMI-KU","KYOTO  KYOTO  601-8501","JP"
"50F222","EM Microelectronic","Rue des Sors 3","Marin-Epagnier  Neuchatel  2074","CH"
"FC500C","Sitehop Ltd","The Workstation, 15 Paternoster Row","Sheffield  South Yorkshire  S1 2BX","GB"
"CCEB5E","Xiaomi Communications Co Ltd","#019, 9th Floor, Building 6, 33 Xi'erqi Middle Road","Beijing  Haidian District  100085","CN"
"60C78D","Juniper Networks","1133 Innovation Way","Sunnyvale  CA  94089","US"
"DC5193","zte corporation","12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China","shenzhen   guangdong  518057","CN"
"BCFD0C","Shenzhen Phaten Tech. LTD","C-6 ideamonto industril 7002 Songbai Road Guangming District Shenzhen City Guangdong, China","Shenzhen    518108","CN"
"1865C7","Dongguan YIMO Technology Co.LTD","No.67, Qingxi Section, Qingzhang Road, Qingxi Town, Dongguan City, Guangdong Province","Dongguan  Guangdong  523660","CN"
"307A57","Accuenergy (CANADA) Inc","22 Howden Rd","Scarborough  Ontario  M1R 3E4","CA"
"7478A6","Fortinet, Inc.","899 Kifer Road","Sunnyvale    94086","US"
"001982","SmarDTV Corporation","147 Avenue du Jujubier","ZI Athelia IV  La Ciotat  13600","CH"
"50FE0C","AzureWave Technology Inc.","8F., No. 94, Baozhong Rd.","New Taipei City  Taiwan  231","TW"
"ACD75B","Sagemcom Broadband SAS","250, route de l'Empereur","Rueil Malmaison Cedex  hauts de seine  92848","FR"
"B4C2E0","Bouffalo Lab (Nanjing) Co., Ltd.","5F, Gongxiang Space, No.100 Tuanjie Road, Nanjing, China","Nanjing  Jiangsu  211800","CN"
"040986","Arcadyan Corporation","No.8, Sec.2, Guangfu Rd.","Hsinchu City  Hsinchu  30071","TW"
"0C01C8","DENSO Co.,Ltd","Twin21 MIDTower(24th floor),2-1-61","Shiromi,Chuo-ku,Osaka-shi  Osaka  540-6124","JP"
"F42E48","zte corporation","12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China","shenzhen   guangdong  518057","CN"
"F8D2AC","Vantiva USA LLC","4855 Peachtree Industrial Blvd, Suite 20","Norcross  GA  30902","US"
"CCF3C8","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville   GA  30044","US"
"60FDA6","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"80A997","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"348C5E","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"F0EE7A","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"203AEB","zte corporation","12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China","shenzhen   guangdong  518057","CN"
"5876B3","Ubee Interactive Co., Limited","Flat/RM 1202, 12/F, AT Tower, 180 Electric Road","North Point    00000","HK"
"E87072","Hangzhou BroadLink Technology Co.,Ltd","Room 101,1/F,Unit C,Building 1,No.57 Jiang'er Road,Changhe Street,Binjiang District,Hangzhou,Zhejiang,P.R.China","Hangzhou  Zhejiang  310052","CN"
"40F3B0","Texas Instruments","12500 TI Blvd","Dallas  TX  75243","US"
"149CEF","Texas Instruments","12500 TI Blvd","Dallas  TX  75243","US"
"14987D","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville  GA  30044","US"
"58238C","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville  GA  30044","US"
"80B234","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville  GA  30044","US"
"8417EF","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville  GA  30044","US"
"A456CC","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville  GA  30044","US"
"70037E","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville  GA  30044","US"
"441C12","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville  GA  30044","US"
"481BA4","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"58AD12","Apple, Inc.","1 Infinite Loop","Cupertino  CA  95014","US"
"80C41B","Texas Instruments","12500 TI Blvd","Dallas  TX  75243","US"
"3468B5","Texas Instruments","12500 TI Blvd","Dallas  TX  75243","US"
"D0B2C4","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville  GA  30044","US"
"80C6AB","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville  GA  30044","US"
"CC03FA","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville  GA  30044","US"
"48F7C0","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville  GA  30044","US"
"480033","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville  GA  30044","US"
"5C7695","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville  GA  30044","US"
"383FB3","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville  GA  30044","US"
"641236","Vantiva USA LLC","5030 Sugarloaf Parkway Bldg 6","Lawrenceville  GA  30044","US"
"AC4CA5","Vantiva USA LLC","4855 Peachtree Industrial Blvd, Suite 20","Norcross  GA  30902","US"
"00CB7A","Vantiva USA LLC","4855 Peachtree Industrial Blvd, Suite 20","Norcross  GA  30902","US"
"B8A75E","Wuxi Xinjie Electric Co.,Ltd","No.9 Liu Tang Road, Hu Tai Industrial Park, Binhu District,","Wuxi  Jiangsu  320200","CN"
"8C53E6","Wistron Neweb Corporation","No.20,Park Avenue II,Hsinchu Science Park","Hsin-Chu  R.O.C.  308","TW"
"345E08","Roku, Inc","1155 Coleman Ave","San Jose  CA  95110","US"
"D87766","Nurivoice Co., Ltd","NURI Bld, 16 Sapyeong-daero","Seoul  Seocho-gu  06552","KR"
"708185","New H3C Technologies Co., Ltd","466 Changhe Road, Binjiang District","Hangzhou  Zhejiang  310052","CN"
"0C75D2","Hangzhou Hikvision Digital Technology Co.,Ltd.","No.555 Qianmo Road","Hangzhou  Zhejiang  310052","CN"
"D8DAF1","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"54443B","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"5C7075","HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park","Dongguan    523808","CN"
"C0E911","RealNetworks","1501 1st Ave S., #600","Seattle  WA  98134","US"
"8C3B4A","Universal Global Scientific Industrial Co., Ltd.","141, Lane 351, Taiping Road, Sec.1,Tsao Tuen","Nan-Tou  Taiwan  54261","TW"
"50D33B","cloudnineinfo","xiaoshan Wujin load #19","hangzhou  zhejiang  311258","CN"
"84C8A0","Hui Zhou Gaoshengda Technology Co.,LTD","No.2,Jin-da Road,Huinan Industrial Park","Hui Zhou  Guangdong  516025","CN"
"58C41E","IEEE Registration Authority","445 Hoes Lane","Piscataway  NJ  08554","US"
"08F01E","eero inc.","660 3rd Street","San Francisco  CA  94107","US"
"18A5FF","Arcadyan Corporation","No.8, Sec.2, Guangfu Rd.","Hsinchu City  Hsinchu  30071","TW"
"8C1AF3","Shenzhen Gooxi Information Security CO.,Ltd.","A District,5th Floor,Block A3,Digital Technology Park,Gaoxin South 7th Road,District of High-tech Industrial Park,Nanshan District , Shenzhen, Guangdong  Province","Shenzhen  Guangdong  518100","CN"
"F4B6C6","Indra Heera Technology LLP","Narayan Colony, Old Police Line, Arrah","Bhojpur  Bihar  802301","IN"
"A002A5","Intel Corporate","Lot 8, Jalan Hi-Tech 2/3","Kulim  Kedah  09000","MY"
"8CD54A","TAIYO YUDEN CO.,LTD","8-1, Sakae-cho","Takasaki-shi  Gunma  370-8522","JP"
"A88B28","SHENZHEN DIYANG SMART TECHNOLOGY CO.,LTD.","Room 202, Building 4, Research & Creation Valley High-tech Incubation Park, Gongming Street, Guangming District, Shenzhen(www.diyangsmart.com)","Shenzhen  Guangdong  518107","CN"
"C87023","Altice Labs S.A.","NIF 504705610, Rua Eng. José Ferreira Pinto Basto","Aveiro    3810-106","PT"
"709883","SHENZHEN KAYAN ELECTRONICS., LTD.","ROOM 1801B1,HENGFANG TECHNOLOGY BUILDING, NO.4008,XINHU ROAD,YONGFENG COMMUNITY, BAO'AN DISTRICT,SHENZHEN","Shenzhen    518126","CN"
"C4799F","Haiguang Smart Device Co.,Ltd.","Room 202,2nd.Floor,3rd.Building,Kuiqiao Road, No.2,Tangxia Town,Dongguan","Dongguan  Guangdong  523000","CN"
"F43A7B","zte corporation","12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China","shenzhen   guangdong  518057","CN"
"689E29","zte corporation","12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China","shenzhen   guangdong  518057","CN"
"6C03B5","Cisco Systems, Inc","80 West Tasman Drive","San Jose  CA  94568","US"
"A89162","Sophos Ltd","The Pentagon","Abingdon  Oxfordshire  OX14 3YP","GB"
"E44097","GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,","DONG GUAN  GUANG DONG  523860","CN"
"DCB4CA","GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,","DONG GUAN  GUANG DONG  523860","CN"
"943BB1","Kaon Group Co., Ltd.","KAONMEDIA Building 513-4","Sungnam-City  Kyonggi-Do  463-839, KOREA","KR"
"44F034","Kaon Group Co., Ltd.","884-3, Seongnam-daero, Bundang-gu","Seongnam-si  Gyeonggi-do  13517","KR"
"5016F4","Motorola Mobility LLC, a Lenovo Company","222 West Merchandise Mart Plaza","Chicago  IL  60654","US"
"3C08CD","Juniper Networks","1133 Innovation Way","Sunnyvale  CA  94089","US"
